en	sv	ar	de	az	fr	eu	nl	ru	be	it	bg	es	ca	pl	vi	hr	ja	cs	da	pt	uk	eo	fa	et	sr	fi	no	id	gl	ko	ka	hu	el	ro	hi	tr	ms	sk	la	lv	lt	mk	sl	ur	th	ta	cy	af	sq	bn	tl	te	ht	sw	ga	is	gu	kn	yi
I hope your day is going well.	Jag hoppas att din dag går bra.	آمل يومك تسير على ما يرام.	Ich hoffe du hast einen guten Tag.	Mən sizin gün yaxşı gedir ümid edirik.	J'espère que votre journée va bien.	zure eguna ondo joan espero dut.	Ik hoop dat je dag goed verloopt.	Я надеюсь, что ваш день идет хорошо.	Я спадзяюся, што ваш дзень ідзе добра.	Spero che la giornata sta andando bene.	Надявам се, че днес си върви добре.	Espero que tu día esté yendo bien.	Espero que el seu dia va bé.	Mam nadzieję, że dzień będzie dobrze.	Tôi hy vọng ngày của bạn sẽ tốt.	Nadam se da tvoj dan ide dobro.	私はあなたの日がうまくいっている願っています。	Doufám, že váš den je v pořádku.	Jeg håber, din dag går godt.	Eu espero que seu dia esteja indo bem.	Я сподіваюся, що ваш день йде добре.	Mi esperas ke via tago iras bone.	من امیدوارم که روز خود را به خوبی می گذرد.	Ma loodan, et teie päev läheb hästi.	Надам се да твој дан иде добро.	Toivottavasti päiväsi sujuu hyvin.	Jeg håper dagen din går bra.	Saya berharap hari Anda berjalan dengan baik.	Espero que o seu día está indo ben.	나는 당신의 일이 잘되어 가고 바랍니다.	მე იმედი მაქვს, რომ თქვენი დღის კარგად მიდის.	Remélem, a nap jól megy.	Ελπίζω την ημέρα σας πάνε καλά.	Sper ca ziua ta merge bine.	मुझे उम्मीद है कि आपका दिन अच्छा जा रहा है।	Umarım günün iyi geçiyordur.	Saya harap hari anda berjalan dengan baik.	Dúfam, že váš deň je v poriadku.	Spero autem dies tuus est iens bene.	Es ceru, ka jūsu diena ir labi.	Tikiuosi jūsų dieną vyksta gerai.	Се надевам дека вашиот ден оди добро.	Upam, da tvoj dan se bo dobro.	میں نے آپ کا دن اچھا چل رہا ہے امید ہے کہ.	ฉันหวังว่าวันของคุณเป็นไปอย่างดี	நான் உங்கள் நாள் நன்றாக போகிறது நம்புகிறேன்.	Rwy'n gobeithio eich diwrnod yn mynd yn dda.	Ek hoop jou dag goed gaan.	Unë shpresoj se dita juaj është duke shkuar mirë.	আশা করছি আপনার দিনটি ভাল যাচ্ছে না।	Umaasa ako ang iyong araw ay magiging maayos.	నేను మీ రోజు బాగా అన్నారు ఆశిస్తున్నాము.	Mwen espere jou ou a pral byen.	Natumaini siku yako ni kwenda vizuri.	Tá súil agam go bhfuil do lá ag dul go maith.	Ég vona að dagurinn er að fara vel.	હું આશા રાખું છું તમારા દિવસ સારી રીતે ચાલે છે.	ನಿಮ್ಮ ದಿನ ಚೆನ್ನಾಗಿ ಹೋಗುತ್ತದೆ ಭಾವಿಸುತ್ತೇವೆ.	איך האָפֿן דיין טאָג איז געגאנגען געזונט.
I have a small fever.	Jag har en liten feber.	لدي حمى الصغيرة.	Ich habe ein kleines Fieber.	Mən kiçik od var.	J'ai une petite fièvre.	sukar txiki bat daukat.	Ik heb een klein koorts.	У меня есть небольшая лихорадка.	У мяне ёсць невялікая ліхаманка.	Ho un piccolo febbre.	Имам малък треска.	Tengo una pequeña fiebre.	Tinc una petita febre.	Mam niewielką gorączkę.	Tôi có một cơn sốt nhỏ.	Imam malu groznicu.	私は小さな熱を持っています。	Mám malou horečku.	Jeg har en lille feber.	Eu tenho uma pequena febre.	У мене є невелика лихоманка.	Mi havas malgrandan febro.	من تب کوچک است.	Mul on väike palavik.	Имам малу грозницу.	Minulla on pieni kuume.	Jeg har en liten feber.	Saya mengalami demam kecil.	Eu teño unha pequena febre.	나는 작은 열이.	მაქვს პატარა ცხელება.	Van egy kis láz.	Έχω ένα μικρό πυρετό.	Am o febră mică.	मैं एक छोटे से बुखार है।	Ben küçük bir ateş var.	Saya mempunyai demam kecil.	Mám malú horúčku.	Habeo parva febrem.	Man ir neliels drudzis.	Turiu mažą karščiavimas.	Имам мал треска.	Imam majhno vročino.	میں نے ایک چھوٹا سا بخار ہے.	ฉันมีไข้ขนาดเล็ก	நான் ஒரு சிறிய காய்ச்சல்.	Mae gen i dwymyn bach.	Ek het 'n klein koors.	Unë kam një temperaturë të vogël.	আমি একটা ছোট জ্বর আছে।	Mayroon akong maliit na lagnat.	నేను ఒక చిన్న జ్వరం కలిగి.	Mwen gen yon lafyèv ki piti yo.	Nina homa kidogo.	tá mé go bhfuil fiabhras beag.	Ég hef lítið hita.	હું એક નાના તાવ હોય છે.	ನಾನು ಒಂದು ಸಣ್ಣ ಜ್ವರಕ್ಕೆ.	איך האָבן אַ קליין היץ.
I am sick.	Jag är sjuk.	انا تعبان.	Ich bin krank.	Xəstəyəm.	Je suis malade.	Gaixorik nago.	Ik ben ziek.	Я болею.	Я хворы.	Sono malato.	Болен съм.	Estoy enfermo.	Estic malalt.	Jestem chory.	Tôi bị ốm.	Bolestan sam.	私は病気です。	Jsem nemocný.	Jeg er syg.	Estou doente.	Я хворію.	Mi malsanas.	من مریضم.	Ma olen haige.	Болестан сам.	Olen sairas.	Jeg er syk.	Aku sakit.	Estou enfermo.	나는 아프다.	Ავად ვარ.	Beteg vagyok.	Είμαι άρρωστος.	Sunt bolnav.	में बिमार हूँ।	Ben hastayım.	Saya sakit.	Som chorý.	Infirmum sum.	ES esmu slims.	Aš sergu.	Јас сум болен.	Jaz sem bolan.	میں بیمار ہوں.	ฉันป่วย.	எனக்கு உடம்பு சரியில்லை.	Rwy'n sâl.	Ek is siek.	Jam i sëmure.	আমি অসুস্থ.	May sakit ako.	నేను అనారోగ్యంగా ఉన్నాను.	Mwen malad.	Mimi ni mgonjwa.	Tá mé tinn.	Ég er veikur.	હુ માદી છુ.	ನಾನು ಅನಾರೋಗ್ಯ am.	איך בין קראנק.
Are you sick?	Är du sjuk?	هل انت مريض؟	Bist du krank?	Sən xəstəsən?	Es tu malade?	Gaixorik al zaude?	Ben je ziek?	Ты болеешь?	Вы хворыя?	Sei malato?	Болен ли си?	¿Estás enfermo?	Estàs malalt?	Jesteś chory?	Bạn có bị bệnh?	Jesi li bolestan?	病気ですか？	Je ti špatně?	Er du syg?	Você está doente?	Ти хворий?	Vi estas malsana?	آیا شما مریض؟	Kas sa oled haige?	Јеси ли болестан?	Oletko sairas?	Er du syk?	Apakah kamu sakit?	Estás enfermo?	너 아프니?	Ავად ხარ?	Beteg vagy?	Είσαι άρρωστος?	Ești bolnav?	क्या तुम बीमार हो?	Hasta mısın?	Adakah anda sakit?	Si chorý?	Male agis?	Vai tu esi slims?	Ar jums atsibodo?	Дали си болен?	Ali si bolan?	کیا تم بیمار ہو؟	ไม่สบายเหรอ?	நீங்கள் உடம்பு வேண்டுமா?	A ydych yn sâl?	Is jy siek?	A je i sëmurë?	তুমি কি অসুস্থ?	May sakit ka ba?	నీకు ఒంట్లో బాలేదా?	Èske ou malad?	Je, wewe ni mgonjwa?	An bhfuil tú tinn?	Ert þú veikur?	શું તું બીમાર છે?	ನೀವು ಅನಾರೋಗ್ಯ?	ביזטו קראנק?
She is sick today.	Hon är sjuk idag.	كانت مريضة اليوم.	Sie ist heute krank.	O, bu gün xəstədir.	Elle est malade aujourd'hui.	gaixorik dago zuen gaur.	Ze is vandaag ziek.	Она больна сегодня.	Яна хворая сёння.	Lei è malata oggi.	Тя е болна и днес.	Ella está enferma hoy.	Ella està malalta avui.	Ona jest już chory.	Cô bị ốm ngày hôm nay.	Ona je bolesna i danas.	彼女は今日病気です。	Ona je nemocná dnes.	Hun er syg i dag.	Ela está doente hoje.	Вона хвора сьогодні.	Ŝi estas malsana hodiaŭ.	او بیمار است امروز.	Ta on haige täna.	Она је болесна.	Hän on sairaana.	Hun er syk i dag.	Dia sakit hari ini.	Ela está enfermo hoxe.	그녀는 오늘 아픈 것입니다.	იგი დაავადებულია დღეს.	Ő beteg ma.	Είναι άρρωστος σήμερα.	Ea este bolnavă astăzi.	वह आज बीमार है।	Bugün hasta.	Dia sakit hari ini.	Ona je chorá dnes.	Infirmum est hodie.	Viņa ir slima jau šodien.	Ji serga ir šiandien.	Таа е болен денес.	Bila je bolna danes.	وہ آج بیمار ہے.	เธอมีอาการป่วยในวันนี้	அவள் இன்று உடம்பு சரியில்லை.	Mae hi'n sâl heddiw.	Sy is vandag siek.	Ajo është i sëmurë sot.	তিনি আজ অসুস্থ।	Siya ay may sakit ngayon.	ఆమె నేడు నయనతార.	Li se malad jodi a.	Yeye ni mgonjwa leo.	Tá sí tinn sa lá atá inniu.	Hún er veik í dag.	તેમણે આજે બીમાર છે.	ಅವರು ಇಂದು ಅನಾರೋಗ್ಯ.	זי איז קראַנק הייַנט.
I am getting sick	Jag får sjuka	أنا الحصول على المرضى	ich werde krank	Mən xəstə alıram	je suis entrain de tomber malade	gaixoa naiz	Ik word ziek	Я получаю больной	Я атрымліваю хворы	Io sono sempre malato	Аз съм се разболя	me estoy enfermando	estic emmalaltint	łapie mnie choroba	tôi sắp Bệnh	Ja sam uzimajući bolestan	私は病気を取得しています	Jsem stále nemocné	Jeg får syge	Eu estou ficando doente	Я отримую хворий	Mi estas akiranta malsanan	من بیمار هستم	Ma saan haige	Ја сам мука	Saan sairas	Jeg får syk	Saya sakit	Estou quedando enfermo	나는 병을 얻고있다	მე ავადმყოფი	Kapok beteg	Είμαι αρρωσταίνουν	mi se face rau	मुझे बीमारी सी लग रही है	hasta oluyorum	Saya sedang jatuh sakit	Som stále choré	Questus sum infirmum	Es esmu kļūst slims	Aš vis serga	Јас сум да се разболат	Sem že bolan	میں بیمار ہو رہی ہے	ฉันได้รับป่วย	நான் உடம்பு பெறுகிறேன்	Yr wyf yn mynd yn sâl	Ek kry siek	Unë jam duke i sëmurë	আমি অসুস্থ হচ্ছি	Ako nakakakuha ng maysakit	నేను జబ్బుపడిన పొందుతున్నాను	Mwen ap resevwa malad	Mimi ni kupata ugonjwa	Tá mé ag fáil tinn	Ég er að fá veikur	હું બીમાર મેળવવામાં છું	ನಾನು ಅನಾರೋಗ್ಯ ಪಡೆಯುವಲ್ಲಿ ನಾನು	איך בין געטינג קראַנק
It's so early.	Det är så tidigt.	من المبكر للغاية.	Es ist so früh.	Bu, erkən var.	Il est si tôt.	Hain goiz da.	Het is zo vroeg.	Так рано.	Гэта так рана.	È così presto.	Това е толкова по-рано.	Es muy temprano.	És tan d'hora.	Jest tak wcześnie.	Còn quá sớm.	Tako je rano.	それはとても早いです。	Je to tak brzy.	Det er så tidligt.	É muito cedo.	Це так рано.	Estas tiel frue.	الآن خیلی زوده.	See on nii varakult.	Тако је рано.	Se on niin aikaisin.	Det er så tidlig.	Ini sangat awal.	É tan cedo.	너무 이르다.	ეს ასე ადრე.	Olyan korán van.	Είναι τόσο νωρίς.	E atât de devreme.	यह काफी पहले है।	Çok erken.	Ia begitu awal.	Je to tak skoro.	Est ergo primo.	Tas ir tik agri.	Tai taip anksti.	Тоа е толку рано.	To je tako zgodaj.	یہ اتنی جلدی ہے.	ก็เพื่อให้ต้น	அது இவ்வளவு சீக்கிரம் தான்.	Mae mor gynnar.	Dis so vroeg.	Është kaq herët.	এটা তোলে তাই তাড়াতাড়ি করে।	Ito ay kaya maaga.	ఇది కాబట్టి దశలో.	Li nan tèlman bonè.	Ni hivyo mapema.	Tá sé chomh luath.	Það er svo snemma.	તે ખૂબ શરૂઆતમાં છે.	ಇದು ಮುಂಚಿನದಾಗಿದೆ.	עס ס אַזוי פרי.
What happened?	Vad hände?	ماذا حدث؟	Was ist passiert?	Nə olub?	Qu'est-il arrivé?	Zer gertatu da?	Wat is er gebeurd?	Что произошло?	Што здарылася?	Quello che è successo?	Какво стана?	¿Que pasó?	Què va passar?	Co się stało?	Chuyện gì đã xảy ra?	Što se dogodilo?	どうした？	Co se stalo?	Hvad skete der?	O que aconteceu?	Що трапилось?	Kio okazis?	چی شد؟	Mis juhtus?	Шта се десило?	Mitä tapahtui?	Hva skjedde?	Apa yang terjadi?	Que pasou?	어떻게 된 거예요?	Რა მოხდა?	Mi történt?	Τι συνέβη?	Ce s-a întâmplat?	क्या हुआ?	Ne oldu?	Apa yang berlaku?	Čo sa stalo?	Quid accidit?	Kas notika?	Kas nutiko?	Што се случи?	Kaj se je zgodilo?	کیا ہوا؟	เกิดอะไรขึ้น?	என்ன நடந்தது?	Beth ddigwyddodd?	Wat het gebeur?	Cfare ndodhi?	কি হলো?	Anong nangyari?	ఏమైంది?	Kisa ki te pase?	Nini kimetokea?	Cad a tharla?	Hvað gerðist?	શું થયું?	ಏನಾಯಿತು?	וואס איז געשען?
What's wrong?	Vad är fel?	ماالخطب؟	Was ist los?	Səhv nədir?	Qu'est-ce qui ne va pas?	Zer dago oker?	Wat is er mis?	В чем дело?	Што не так?	Cosa c'è che non va?	Какво не е наред?	¿Qué pasa?	Que passa?	Co jest nie tak?	Chuyện gì vậy?	Što nije u redu?	どうしましたか？	Co je špatně?	Hvad er der galt?	O que há de errado?	Що не так?	Kio okazas?	مشکل چیه؟	Mis viga?	Шта није у реду?	Mikä hätänä?	Hva er galt?	Apa yang salah?	O que hai de malo?	뭐가 문제 야?	Რა მოხდა?	Mi a baj?	Τι τρέχει?	Ce s-a întâmplat?	क्या गलत है?	Sorun nedir?	Apa yang salah?	Čo je zle?	Quid iniuriam?	Kas noticis?	Kas negerai?	Што не е во ред?	Kaj je narobe?	کیا غلط ہے؟	มีอะไรผิดปกติ?	என்ன தவறு?	Beth sy'n bod?	Wat is fout?	Çfarë nuk shkon?	কোনো সমস্যা?	Ano ang mali?	తప్పు ఏమిటి?	Ki sa ki nan mal?	Nini tatizo?	Céard atá mícheart?	Hvað er að?	ખોટુ શું છે?	ಏನು ತಪ್ಪಾಯಿತು?	וואס איז שלעכט?
Say it again please.	Säg det igen behaga.	قلها مرة أخرى من فضلك.	Sag das nochmal, bitte.	yenidən edin söyləyin.	Dites-le à nouveau faire plaisir.	Esan berriro mesedez da.	Zeg het nog eens te behagen.	Скажи это еще раз, пожалуйста.	Скажы гэта яшчэ раз, калі ласка.	Dire di nuovo piacere.	Кажи го отново зарадва.	Dilo otra vez porfavor.	Digues-ho una altra vegada si us plau.	Powtórz proszę.	Làm ơn nói lại lần nữa.	Reci to ponovo ugoditi.	それが再びしてくださいと言います。	Řekni to znovu, prosím.	Sig det igen behage.	Diga de novo por favor.	Скажи це ще раз, будь ласка.	Diru ĝin denove plaĉi.	لطفآ دوباره بگو.	Ütle seda uuesti palun.	Реци то поново удовољи.	Sano se uudestaan ​​miellyttää.	Sier det igjen behage.	Tolong katakan lagi.	Dicilo de novo agradar.	다시 제발 말.	ამბობენ, რომ ეს კიდევ ერთხელ გთხოვთ.	Mondd újra örömet.	Πες το ξανά παρακαλώ.	Spune-o din nou pe plac.	कृपया इसे फिर से बताएं।	Tekrar mutlu söyle.	Katakan sekali lagi memudahkan.	Povedz to znova, prosím.	Iterum dico placere.	Teic, ka tas atkal lūdzu.	Pasakyti, kad tai vėl prašom.	Велат дека тоа повторно се молам.	Pravijo, da še enkrat prosim.	براہ مہربانی دوبارہ کہنا.	พูดอีกครั้งโปรด	அது மீண்டும் தயவு சொல்லுங்கள்.	Ddweud eto os gwelwch yn dda.	Sê dit weer tevrede te stel.	Thonë se ai përsëri ju lutem.	অনুগ্রহপূর্বক এটি পুনরায় বলুন.	Sabihin mo ulit please.	మళ్ళీ దయచేసి సే.	Di l 'ankò plezi.	Sema tena tafadhali.	Abair é le do thoil arís.	Segja þóknast aftur.	તેને ફરીથી કૃપા કરીને કહો.	ಮತ್ತೆ ದಯವಿಟ್ಟು ಹೇಳಿ.	זאָגן עס ווידער ביטע.
How long have you lived here?	Hur länge har du bott här?	منذ متى وأنت تعيش هنا؟	Wie lange hast du hier gelebt?	Necə uzun siz burada yaşamış var?	Combien de temps avez-vous vécu ici?	Zenbat denbora behar hemen bizi zara?	Hoe lang heb jij hier gewoond?	Как давно ты живешь здесь?	Як доўга вы тут жывяце?	Quanto tempo hai vissuto qui?	От колко време сте живели тук?	¿Cuanto tiempo has vivido aqui?	Quant fa que vius aquí?	Jak długo tu mieszkałeś?	Bạn ở đây bao lâu rồi?	Koliko dugo živiš ovdje?	ここにどれくらい住んでる？	Jak dlouho tady žiješ?	Hvor længe har du boet her?	Há quanto tempo você mora aqui?	Як довго ви тут живете?	Kiom longe vi loĝis tie?	چه مدت در اینجا زندگی می کنید؟	Kui kaua sa siin elanud oled?	Колико дуго сте живели овде?	Kuinka kauan olet asunut täällä?	Hvor lenge har du bodd her?	Berapa lama Anda tinggal di sini?	Hai canto tempo vive aquí?	얼마나 당신이 여기 살고 있습니까?	Რამდენი ხანი ცხოვრობდი აქ?	Mióta élsz itt?	Πόσο καιρό έχετε ζήσει εδώ?	Cat timp ai trait aici?	तुम कितनी देर तक यहां रह चुके हो?	Ne kadar zamandır burada yaşıyorsun?	Berapa lama kamu tinggal di sini?	Ako dlho si tu žil?	Dum enim vixit, hic autem quid?	Cik ilgi esat dzīvojis šeit?	Kiek laiko čia gyvenai?	Колку долго сте живееле тука?	Kako dolgo ste živeli tukaj?	کب تک تم یہاں رہ رہے ہیں؟	คุณอยู่ที่นี่มานานแค่ไหนแล้ว?	எப்படி நீண்ட நீங்கள் இங்கே வாழ்ந்து வேண்டும்?	Faint o amser sydd gennych yn byw yma?	Hoe lank woon jy al hier?	Sa kohë keni jetuar këtu?	আপনি এখানে কত দিন ধরে থাকেন?	Gaano katagal mayroon kang nanirahan dito?	మీరు ఇక్కడ ఎంత నివసించారు?	Depi konbyen tan ou te rete isit la?	Muda gani aliishi hapa?	Cé chomh fada tá tú i do chónaí anseo?	Hversu lengi hefur þú búið hér?	કેટલો સમય તમે અહીં રહેતા હોય છે?	ಎಷ್ಟು ನೀವು ಇಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದರು ಹೊಂದಿವೆ?	ווי לאַנג האָבן איר געלעבט דאָ?
